ID	LAT	LON	startDate	endDate	CLASS_TYPE
76	-5.53172573	-64.83233955	2003-09-01	2004-08-31	Primary Forest
76	-5.53172573	-64.83233955	2004-09-01	2005-08-31	Primary Forest
76	-5.53172573	-64.83233955	2005-09-01	2006-08-31	Primary Forest
76	-5.53172573	-64.83233955	2006-09-01	2007-08-31	Primary Forest
76	-5.53172573	-64.83233955	2007-09-01	2008-08-31	Primary Forest
76	-5.53172573	-64.83233955	2008-09-01	2009-08-31	Primary Forest
76	-5.53172573	-64.83233955	2009-09-01	2010-08-31	Primary Forest
76	-5.53172573	-64.83233955	2010-09-01	2011-08-31	Primary Forest
76	-5.53172573	-64.83233955	2011-09-01	2012-08-31	Primary Forest
76	-5.53172573	-64.83233955	2012-09-01	2013-08-31	Primary Forest
76	-5.53172573	-64.83233955	2013-09-01	2014-08-31	Primary Forest
76	-5.53172573	-64.83233955	2014-09-01	2015-08-31	Primary Forest
76	-5.53172573	-64.83233955	2015-09-01	2016-08-31	Primary Forest
91	-3.5227063	-64.8567352	2005-09-07	2006-08-31	Primary Forest
91	-3.5227063	-64.8567352	2006-09-01	2007-08-31	Primary Forest
91	-3.5227063	-64.8567352	2007-09-01	2008-08-31	Primary Forest
91	-3.5227063	-64.8567352	2008-09-01	2009-08-31	Primary Forest
91	-3.5227063	-64.8567352	2009-09-01	2010-08-31	Primary Forest
91	-3.5227063	-64.8567352	2010-09-01	2011-08-31	Primary Forest
91	-3.5227063	-64.8567352	2011-09-01	2012-08-31	Primary Forest
91	-3.5227063	-64.8567352	2012-09-01	2013-08-31	Primary Forest
108	-9.66955544	-69.24319369	2005-09-01	2006-08-31	Primary Forest
108	-9.66955544	-69.24319369	2006-09-01	2007-08-31	Primary Forest
108	-9.66955544	-69.24319369	2007-09-01	2008-08-31	Primary Forest
108	-9.66955544	-69.24319369	2008-09-01	2009-08-31	Primary Forest
108	-9.66955544	-69.24319369	2009-09-01	2010-08-31	Primary Forest
108	-9.66955544	-69.24319369	2010-09-01	2011-08-31	Primary Forest
108	-9.66955544	-69.24319369	2011-09-01	2012-08-31	Primary Forest
108	-9.66955544	-69.24319369	2012-09-01	2013-08-31	Primary Forest
108	-9.66955544	-69.24319369	2013-09-01	2014-08-31	Primary Forest
108	-9.66955544	-69.24319369	2014-09-01	2015-08-31	Primary Forest
108	-9.66955544	-69.24319369	2015-09-01	2016-08-31	Primary Forest
120	-9.1729658	-68.9742912	2005-09-06	2011-08-08	Primary Forest
120	-9.1729658	-68.9742912	2006-09-01	2007-08-31	Primary Forest
120	-9.1729658	-68.9742912	2007-09-01	2008-08-31	Primary Forest
120	-9.1729658	-68.9742912	2008-09-01	2009-08-31	Primary Forest
120	-9.1729658	-68.9742912	2009-09-01	2010-08-31	Primary Forest
120	-9.1729658	-68.9742912	2010-09-01	2011-08-31	Primary Forest
133	-8.76787633	-67.82916153	2005-09-06	2006-08-31	Primary Forest
133	-8.76787633	-67.82916153	2006-09-01	2007-08-31	Primary Forest
133	-8.76787633	-67.82916153	2007-09-01	2008-08-31	Primary Forest
133	-8.76787633	-67.82916153	2008-09-01	2009-08-31	Primary Forest
133	-8.76787633	-67.82916153	2009-09-01	2010-08-31	Primary Forest
133	-8.76787633	-67.82916153	2010-09-01	2011-08-31	Primary Forest
133	-8.76787633	-67.82916153	2011-09-01	2012-08-31	Primary Forest
133	-8.76787633	-67.82916153	2012-09-01	2013-08-31	Primary Forest
133	-8.76787633	-67.82916153	2013-09-01	2014-08-31	Primary Forest
133	-8.76787633	-67.82916153	2014-09-01	2015-08-31	Primary Forest
133	-8.76787633	-67.82916153	2015-09-01	2016-08-31	Primary Forest
142	-8.6228174	-67.11692247	2003-09-01	2004-08-31	Primary Forest
142	-8.6228174	-67.11692247	2004-09-01	2005-08-31	Primary Forest
144	-8.53643231	-67.0017505	2005-09-01	2006-08-31	Primary Forest
144	-8.53643231	-67.0017505	2006-09-01	2007-08-31	Primary Forest
144	-8.53643231	-67.0017505	2007-09-01	2008-08-31	Primary Forest
144	-8.53643231	-67.0017505	2008-09-01	2009-08-31	Primary Forest
144	-8.53643231	-67.0017505	2009-09-01	2010-08-31	Primary Forest
144	-8.53643231	-67.0017505	2010-09-01	2011-08-31	Primary Forest
154	-7.5910426	-66.44681467	2005-09-01	2006-08-31	Primary Forest
154	-7.5910426	-66.44681467	2006-09-01	2007-08-31	Primary Forest
154	-7.5910426	-66.44681467	2007-09-01	2008-08-31	Primary Forest
154	-7.5910426	-66.44681467	2008-09-01	2009-08-31	Primary Forest
154	-7.5910426	-66.44681467	2009-09-01	2010-08-31	Primary Forest
154	-7.5910426	-66.44681467	2010-09-01	2011-08-31	Primary Forest
154	-7.5910426	-66.44681467	2011-09-01	2012-08-31	Primary Forest
154	-7.5910426	-66.44681467	2012-09-01	2013-08-31	Primary Forest
162	-7.67219824	-64.9107304	2005-09-01	2006-08-31	Primary Forest
162	-7.67219824	-64.9107304	2006-09-01	2007-08-31	Primary Forest
162	-7.67219824	-64.9107304	2007-09-01	2008-08-31	Primary Forest
162	-7.67219824	-64.9107304	2008-09-01	2009-08-31	Primary Forest
162	-7.67219824	-64.9107304	2009-09-01	2010-08-31	Primary Forest
175	-8.63905777	-64.07943623	2004-09-01	2005-08-31	Primary Forest
175	-8.63905777	-64.07943623	2005-09-01	2006-08-31	Primary Forest
175	-8.63905777	-64.07943623	2006-09-01	2007-08-31	Primary Forest
175	-8.63905777	-64.07943623	2007-09-01	2008-08-31	Primary Forest
175	-8.63905777	-64.07943623	2008-09-01	2009-08-31	Primary Forest
175	-8.63905777	-64.07943623	2009-09-01	2010-08-31	Primary Forest
175	-8.63905777	-64.07943623	2010-09-01	2011-08-31	Primary Forest
207	-12.55078913	-62.5053456	2005-09-01	2006-08-31	Primary Forest
207	-12.55078913	-62.5053456	2006-09-01	2007-08-31	Primary Forest
207	-12.55078913	-62.5053456	2007-09-01	2008-08-31	Primary Forest
207	-12.55078913	-62.5053456	2008-09-01	2009-08-31	Primary Forest
207	-12.55078913	-62.5053456	2009-09-01	2010-08-31	Primary Forest
207	-12.55078913	-62.5053456	2010-09-01	2011-08-31	Primary Forest
207	-12.55078913	-62.5053456	2011-09-01	2012-08-31	Primary Forest
207	-12.55078913	-62.5053456	2012-09-01	2013-08-31	Primary Forest
207	-12.55078913	-62.5053456	2013-09-01	2014-08-31	Primary Forest
251	-12.35505238	-62.85058475	2005-09-01	2006-08-31	Primary Forest
251	-12.35505238	-62.85058475	2006-09-01	2007-08-31	Primary Forest
251	-12.35505238	-62.85058475	2007-09-01	2008-08-31	Primary Forest
251	-12.35505238	-62.85058475	2008-09-01	2009-08-31	Primary Forest
251	-12.35505238	-62.85058475	2009-09-01	2010-08-31	Primary Forest
251	-12.35505238	-62.85058475	2010-09-01	2011-08-31	Primary Forest
251	-12.35505238	-62.85058475	2011-09-01	2012-08-31	Primary Forest
251	-12.35505238	-62.85058475	2012-09-01	2013-08-31	Primary Forest
251	-12.35505238	-62.85058475	2013-09-01	2014-08-31	Primary Forest
261	-12.273319	-62.966724	2005-09-01	2006-08-31	Primary Forest
261	-12.273319	-62.966724	2006-09-01	2007-08-31	Primary Forest
261	-12.273319	-62.966724	2007-09-01	2008-08-31	Primary Forest
261	-12.273319	-62.966724	2008-09-01	2009-08-31	Primary Forest
261	-12.273319	-62.966724	2009-09-01	2010-08-31	Primary Forest
261	-12.273319	-62.966724	2010-09-01	2011-08-31	Primary Forest
261	-12.273319	-62.966724	2011-09-01	2012-08-31	Primary Forest
261	-12.273319	-62.966724	2012-09-01	2013-08-31	Primary Forest
261	-12.273319	-62.966724	2013-09-01	2014-08-31	Primary Forest
283	-11.78634913	-63.36327469	2005-09-01	2006-08-31	Primary Forest
283	-11.78634913	-63.36327469	2006-09-01	2007-08-31	Primary Forest
283	-11.78634913	-63.36327469	2007-09-01	2008-08-31	Primary Forest
283	-11.78634913	-63.36327469	2008-09-01	2009-08-31	Primary Forest
283	-11.78634913	-63.36327469	2009-09-01	2010-08-31	Primary Forest
283	-11.78634913	-63.36327469	2010-09-01	2011-08-31	Primary Forest
283	-11.78634913	-63.36327469	2011-09-01	2012-08-31	Primary Forest
283	-11.78634913	-63.36327469	2012-09-01	2013-08-31	Primary Forest
283	-11.78634913	-63.36327469	2013-09-01	2014-08-31	Primary Forest
294	-11.540079	-63.406669	2005-09-01	2006-08-31	Primary Forest
294	-11.540079	-63.406669	2006-09-01	2007-08-31	Primary Forest
294	-11.540079	-63.406669	2007-09-01	2008-08-31	Primary Forest
294	-11.540079	-63.406669	2008-09-01	2009-08-31	Primary Forest
294	-11.540079	-63.406669	2009-09-01	2010-08-31	Primary Forest
294	-11.540079	-63.406669	2010-09-01	2011-08-31	Primary Forest
294	-11.540079	-63.406669	2011-09-01	2012-08-31	Primary Forest
314	-11.30857187	-63.4475966	2005-09-01	2006-08-31	Primary Forest
314	-11.30857187	-63.4475966	2006-09-01	2007-08-31	Primary Forest
314	-11.30857187	-63.4475966	2007-09-01	2008-08-31	Primary Forest
314	-11.30857187	-63.4475966	2008-09-01	2009-08-31	Primary Forest
314	-11.30857187	-63.4475966	2009-09-01	2010-08-31	Primary Forest
314	-11.30857187	-63.4475966	2010-09-01	2011-08-31	Primary Forest
314	-11.30857187	-63.4475966	2011-09-01	2012-08-31	Primary Forest
314	-11.30857187	-63.4475966	2012-09-01	2013-08-31	Primary Forest
319	-11.14590681	-63.47644419	2003-09-01	2004-08-31	Primary Forest
319	-11.14590681	-63.47644419	2004-09-01	2005-08-31	Primary Forest
319	-11.14590681	-63.47644419	2005-09-01	2006-08-31	Primary Forest
319	-11.14590681	-63.47644419	2006-09-01	2007-08-31	Primary Forest
319	-11.14590681	-63.47644419	2007-09-01	2008-08-31	Primary Forest
319	-11.14590681	-63.47644419	2008-09-01	2009-08-31	Primary Forest
319	-11.14590681	-63.47644419	2009-09-01	2010-08-31	Primary Forest
319	-11.14590681	-63.47644419	2010-09-01	2011-08-31	Primary Forest
319	-11.14590681	-63.47644419	2011-09-01	2012-08-31	Primary Forest
324	-10.94913073	-63.51105253	2001-09-01	2013-10-06	Primary Forest
324	-10.94913073	-63.51105253	2002-09-01	2003-08-31	Primary Forest
324	-10.94913073	-63.51105253	2003-09-01	2004-08-31	Primary Forest
324	-10.94913073	-63.51105253	2004-09-01	2005-08-31	Primary Forest
324	-10.94913073	-63.51105253	2005-09-01	2006-08-31	Primary Forest
324	-10.94913073	-63.51105253	2006-09-01	2007-08-31	Primary Forest
324	-10.94913073	-63.51105253	2007-09-01	2008-08-31	Primary Forest
324	-10.94913073	-63.51105253	2008-09-01	2009-08-31	Primary Forest
324	-10.94913073	-63.51105253	2009-09-01	2010-08-31	Primary Forest
324	-10.94913073	-63.51105253	2010-09-01	2011-08-31	Primary Forest
324	-10.94913073	-63.51105253	2011-09-01	2012-08-31	Primary Forest
324	-10.94913073	-63.51105253	2012-09-01	2013-08-31	Primary Forest
333	-10.80396938	-63.53642937	2005-09-01	2006-08-31	Primary Forest
333	-10.80396938	-63.53642937	2006-09-01	2007-08-31	Primary Forest
333	-10.80396938	-63.53642937	2007-09-01	2008-08-31	Primary Forest
333	-10.80396938	-63.53642937	2008-09-01	2009-08-31	Primary Forest
333	-10.80396938	-63.53642937	2009-09-01	2010-08-31	Primary Forest
333	-10.80396938	-63.53642937	2010-09-01	2011-08-31	Primary Forest
333	-10.80396938	-63.53642937	2011-09-01	2012-08-31	Primary Forest
354	-9.35284425	-63.79025725	2005-09-01	2006-08-31	Primary Forest
354	-9.35284425	-63.79025725	2006-09-01	2007-08-31	Primary Forest
394	-8.753576	-64.3383892	2005-09-01	2006-08-31	Primary Forest
394	-8.753576	-64.3383892	2006-09-01	2007-08-31	Primary Forest
394	-8.753576	-64.3383892	2007-09-01	2008-08-31	Primary Forest
394	-8.753576	-64.3383892	2008-09-01	2009-08-31	Primary Forest
394	-8.753576	-64.3383892	2009-09-01	2010-08-31	Primary Forest
394	-8.753576	-64.3383892	2010-09-01	2011-08-31	Primary Forest
394	-8.753576	-64.3383892	2011-09-01	2012-08-31	Primary Forest
480	-8.93276467	-65.60164947	2000-09-01	2001-08-31	Primary Forest
480	-8.93276467	-65.60164947	2001-09-01	2002-08-31	Primary Forest
480	-8.93276467	-65.60164947	2002-09-01	2003-08-31	Primary Forest
480	-8.93276467	-65.60164947	2003-09-01	2004-08-31	Primary Forest
480	-8.93276467	-65.60164947	2004-09-01	2005-08-31	Primary Forest
480	-8.93276467	-65.60164947	2005-09-01	2006-08-31	Primary Forest
480	-8.93276467	-65.60164947	2006-09-01	2007-08-31	Primary Forest
480	-8.93276467	-65.60164947	2007-09-01	2008-08-31	Primary Forest
480	-8.93276467	-65.60164947	2008-09-01	2009-08-31	Primary Forest
480	-8.93276467	-65.60164947	2009-09-01	2010-08-31	Primary Forest
480	-8.93276467	-65.60164947	2010-09-01	2011-08-31	Primary Forest
480	-8.93276467	-65.60164947	2011-09-01	2012-08-31	Primary Forest
480	-8.93276467	-65.60164947	2012-09-01	2013-08-31	Primary Forest
480	-8.93276467	-65.60164947	2013-09-01	2014-08-31	Primary Forest
480	-8.93276467	-65.60164947	2014-09-01	2015-08-31	Primary Forest
480	-8.93276467	-65.60164947	2015-09-01	2016-08-31	Primary Forest
505	-9.10038275	-66.42648512	2005-09-01	2006-08-31	Primary Forest
505	-9.10038275	-66.42648512	2006-09-01	2007-08-31	Primary Forest
505	-9.10038275	-66.42648512	2007-09-01	2008-08-31	Primary Forest
505	-9.10038275	-66.42648512	2008-09-01	2009-08-31	Primary Forest
505	-9.10038275	-66.42648512	2009-09-01	2010-08-31	Primary Forest
505	-9.10038275	-66.42648512	2010-09-01	2011-08-31	Primary Forest
526	-3.8795139	-46.8221449	2005-09-01	2006-08-31	Primary Forest
526	-3.8795139	-46.8221449	2006-09-01	2007-08-31	Primary Forest
529	-3.859641	-46.9665322	2005-09-01	2006-08-31	Primary Forest
529	-3.859641	-46.9665322	2006-09-01	2007-08-31	Primary Forest
605	-3.2448223	-58.65558906	2004-09-01	2005-08-31	Primary Forest
609	-2.561355	-56.236538	2005-09-01	2006-08-31	Primary Forest
609	-2.561355	-56.236538	2006-09-01	2007-08-31	Primary Forest
609	-2.561355	-56.236538	2007-09-01	2008-08-31	Primary Forest
609	-2.561355	-56.236538	2008-09-01	2009-08-31	Primary Forest
609	-2.561355	-56.236538	2009-09-01	2010-08-31	Primary Forest
609	-2.561355	-56.236538	2010-09-01	2011-08-31	Primary Forest
609	-2.561355	-56.236538	2011-09-01	2012-08-31	Primary Forest
669	-0.6709000	-49.6908000	2006-09-01	2007-08-31	Primary Forest
669	-0.6709000	-49.6908000	2007-09-01	2008-08-31	Primary Forest
669	-0.6709000	-49.6908000	2008-09-01	2009-08-31	Primary Forest
669	-0.6709000	-49.6908000	2009-09-01	2010-08-31	Primary Forest
669	-0.6709000	-49.6908000	2010-09-01	2011-08-31	Primary Forest
669	-0.6709000	-49.6908000	2011-09-01	2012-08-31	Primary Forest
669	-0.6709000	-49.6908000	2012-09-01	2013-08-31	Primary Forest
669	-0.6709000	-49.6908000	2013-09-01	2014-08-31	Primary Forest
669	-0.6709000	-49.6908000	2014-09-01	2015-08-31	Primary Forest
669	-0.6709000	-49.6908000	2015-09-01	2016-08-31	Primary Forest
683	-1.0657000	-50.0181000	2006-09-01	2007-08-31	Primary Forest
683	-1.0657000	-50.0181000	2007-09-01	2008-08-31	Primary Forest
683	-1.0657000	-50.0181000	2008-09-01	2009-08-31	Primary Forest
683	-1.0657000	-50.0181000	2009-09-01	2010-08-31	Primary Forest
683	-1.0657000	-50.0181000	2010-09-01	2011-08-31	Primary Forest
683	-1.0657000	-50.0181000	2011-09-01	2012-08-31	Primary Forest
683	-1.0657000	-50.0181000	2012-09-01	2013-08-31	Primary Forest
683	-1.0657000	-50.0181000	2013-09-01	2014-08-31	Primary Forest
683	-1.0657000	-50.0181000	2014-09-01	2015-08-31	Primary Forest
683	-1.0657000	-50.0181000	2015-09-01	2016-08-31	Primary Forest
692	-1.0829000	-50.0355000	2006-09-01	2007-08-31	Primary Forest
692	-1.0829000	-50.0355000	2007-09-01	2008-08-31	Primary Forest
692	-1.0829000	-50.0355000	2008-09-01	2009-08-31	Primary Forest
729	-1.3381000	-50.2811000	2006-09-01	2007-08-31	Primary Forest
729	-1.3381000	-50.2811000	2007-09-01	2008-08-31	Primary Forest
729	-1.3381000	-50.2811000	2008-09-01	2009-08-31	Primary Forest
729	-1.3381000	-50.2811000	2009-09-01	2010-08-31	Primary Forest
729	-1.3381000	-50.2811000	2010-09-01	2011-08-31	Primary Forest
729	-1.3381000	-50.2811000	2011-09-01	2012-08-31	Primary Forest
735	-1.3752000	-50.2987000	2006-09-01	2007-08-31	Primary Forest
735	-1.3752000	-50.2987000	2007-09-01	2008-08-31	Primary Forest
735	-1.3752000	-50.2987000	2008-09-01	2009-08-31	Primary Forest
735	-1.3752000	-50.2987000	2009-09-01	2010-08-31	Primary Forest
735	-1.3752000	-50.2987000	2010-09-01	2011-08-31	Primary Forest
735	-1.3752000	-50.2987000	2011-09-01	2012-08-31	Primary Forest
741	-1.4096000	-50.3208000	2006-09-01	2007-08-31	Primary Forest
741	-1.4096000	-50.3208000	2007-09-01	2008-08-31	Primary Forest
741	-1.4096000	-50.3208000	2008-09-01	2009-08-31	Primary Forest
741	-1.4096000	-50.3208000	2009-09-01	2010-08-31	Primary Forest
741	-1.4096000	-50.3208000	2010-09-01	2011-08-31	Primary Forest
741	-1.4096000	-50.3208000	2011-09-01	2012-08-31	Primary Forest
788	-2.8779000	-54.2281000	2003-09-01	2004-08-31	Primary Forest
788	-2.8779000	-54.2281000	2004-09-01	2005-08-31	Primary Forest
788	-2.8779000	-54.2281000	2005-09-01	2006-08-31	Primary Forest
869	-2.7616000	-54.3525000	2003-08-20	2006-05-29	Primary Forest
869	-2.7616000	-54.3525000	2004-09-01	2005-08-31	Primary Forest
869	-2.7616000	-54.3525000	2005-09-01	2006-08-31	Primary Forest
922	-2.6795000	-54.4413000	2003-09-01	2004-08-31	Primary Forest
922	-2.6795000	-54.4413000	2004-09-01	2005-08-31	Primary Forest
922	-2.6795000	-54.4413000	2005-09-01	2006-08-31	Primary Forest
922	-2.6795000	-54.4413000	2006-09-01	2007-08-31	Primary Forest
922	-2.6795000	-54.4413000	2007-09-01	2008-08-31	Primary Forest
922	-2.6795000	-54.4413000	2008-09-01	2009-08-31	Primary Forest
1048	-2.9410000	-54.3319000	2003-09-01	2004-08-31	Primary Forest
1048	-2.9410000	-54.3319000	2004-09-01	2005-08-31	Primary Forest
1073	-3.9131000	-53.7162000	2006-09-01	2007-08-31	Primary Forest
1073	-3.9131000	-53.7162000	2007-09-01	2008-08-31	Primary Forest
1073	-3.9131000	-53.7162000	2008-09-01	2009-08-31	Primary Forest
1073	-3.9131000	-53.7162000	2009-09-01	2010-08-31	Primary Forest
1073	-3.9131000	-53.7162000	2010-09-01	2011-08-31	Primary Forest
1073	-3.9131000	-53.7162000	2011-09-01	2012-08-31	Primary Forest
1073	-3.9131000	-53.7162000	2012-09-01	2013-08-31	Primary Forest
1073	-3.9131000	-53.7162000	2013-09-01	2014-08-31	Primary Forest
1073	-3.9131000	-53.7162000	2014-09-01	2015-08-31	Primary Forest
1073	-3.9131000	-53.7162000	2015-09-01	2016-08-31	Primary Forest
1118	-4.3324000	-53.6593000	2006-09-01	2007-09-01	Primary Forest
1118	-4.3324000	-53.6593000	2007-09-01	2008-08-31	Primary Forest
1118	-4.3324000	-53.6593000	2008-09-01	2009-08-31	Primary Forest
1118	-4.3324000	-53.6593000	2009-09-01	2010-08-31	Primary Forest
1118	-4.3324000	-53.6593000	2010-09-01	2011-08-31	Primary Forest
1118	-4.3324000	-53.6593000	2011-09-01	2012-08-31	Primary Forest
1118	-4.3324000	-53.6593000	2012-09-01	2013-08-31	Primary Forest
1118	-4.3324000	-53.6593000	2013-09-01	2014-08-31	Primary Forest
1118	-4.3324000	-53.6593000	2014-09-01	2015-08-31	Primary Forest
1118	-4.3324000	-53.6593000	2015-09-01	2016-08-31	Primary Forest
1127	-2.2286000	-51.8523000	2006-09-01	2007-08-31	Primary Forest
1127	-2.2286000	-51.8523000	2007-09-01	2008-08-31	Primary Forest
1127	-2.2286000	-51.8523000	2008-09-01	2009-08-31	Primary Forest
1127	-2.2286000	-51.8523000	2009-09-01	2010-08-31	Primary Forest
1127	-2.2286000	-51.8523000	2010-09-01	2011-08-31	Primary Forest
1127	-2.2286000	-51.8523000	2011-09-01	2012-08-31	Primary Forest
1148	-2.1490000	-51.7825000	2006-09-01	2007-08-31	Primary Forest
1148	-2.1490000	-51.7825000	2007-09-01	2008-08-31	Primary Forest
1148	-2.1490000	-51.7825000	2008-09-01	2009-08-31	Primary Forest
1148	-2.1490000	-51.7825000	2009-09-01	2010-08-31	Primary Forest
1148	-2.1490000	-51.7825000	2010-09-01	2011-08-31	Primary Forest
1148	-2.1490000	-51.7825000	2011-09-01	2012-08-31	Primary Forest
1148	-2.1490000	-51.7825000	2012-09-01	2013-08-31	Primary Forest
1148	-2.1490000	-51.7825000	2013-09-01	2014-08-31	Primary Forest
1148	-2.1490000	-51.7825000	2014-09-01	2015-08-31	Primary Forest
